date,stockcode,sector,foreign_percentage,price_return_10d,cumsumnetvalue_ma10,positive_net_ratio_10d
2025-12-30,MPMX,WHOLESALE (DURABLE & NON DURABLE GOODS),11.35,0.021164021164021163,-64377833919.12952,0.6
2025-12-30,CFIN,FINANCIAL INSTITUTION,18.52,0.018867924528301883,-63625744236.51625,0.6
2025-12-30,SMIL,MACHINERY AND HEAVY EQUIPMENT,2.81,0.005555555555555536,-62591879493.86642,0.7
2025-12-30,BCAP,OTHERS - FINANCE,34.96,0.0,-60619734963.76587,0.6
2025-12-30,PBSA,CONSTRUCTION,8.99,-0.08536585365853655,-59724280173.1024,0.4
2025-12-30,OMED,HEALTH CARE,6.1,0.009803921568627416,-58996982327.16487,0.3
2025-12-30,DATA,COMPUTER AND SERVICES,0.26,0.024390243902439046,-56321869778.34556,0.7
2025-12-30,FUJI,FINANCIAL INSTITUTION,61.58,-0.03472222222222221,-55360837357.335915,0.4
2025-12-30,MBSS,TRANSPORTATION,1.35,0.743732590529248,-51464971741.3809,0.8
2025-12-30,CMNT,"OTHERS - INFRASTRUCTURE, UTILITIES & TRANSPORTATIO",95.72,0.1399999999999999,-49832560136.00132,0.8
2025-12-30,BBYB,BANK,23.02,0.02127659574468077,-45657808608.64588,0.3
2025-12-30,MEGA,BANK,4.51,0.015479876160990669,-44549805365.318115,0.4
2025-12-30,SAGE,PROPERTY AND REAL ESTATE,0.06,0.12903225806451624,-44134042491.24342,0.1
2025-12-30,NRCA,BUILDING CONSTRUCTION,2.96,-0.22391857506361323,-43578941725.625946,0.4
2025-12-30,JIHD,"RESTAURANT, HOTEL & TOURISM",7.26,-0.03389830508474578,-43472405062.39235,0.1
2025-12-30,PURI,PROPERTY AND REAL ESTATE,13.33,-0.1283783783783784,-42305168448.53567,0.6
2025-12-30,ESSA,CHEMICALS,27.72,-0.008196721311475419,-41850502171.78281,0.4
2025-12-30,PZZA,FOOD & BEVERAGES,26.57,-0.018181818181818188,-41524885649.89834,0.3
2025-12-30,ASGR,COMPUTER AND SERVICES,2.27,-0.01680672268907568,-40482012861.30426,0.7
2025-12-30,FPNI,PLASTICS & PACKAGING,2.79,-0.08585858585858586,-39163211440.98058,0.7
2025-12-30,MARK,OTHER - BASIC INDUSTRY AND CHEMICALS,18.08,0.03125,-39043405183.01991,0.2
2025-12-30,MAIN,ANIMAL FEED,81.92,0.13815789473684204,-38375369270.231224,0.6
2025-12-30,MAYA,BANK,24.84,0.0,-37346800353.86305,0.1
2025-12-30,KARW,TRANSPORTATION,0.16,0.0,-36615145322.81524,0.0
2025-12-30,BSDE,PROPERTY AND REAL ESTATE,14.51,-0.021621621621621623,-36395228092.717094,0.8
2025-12-30,LABA,METAL AND ALLIED PRODUCTS,1.7,0.096551724137931,-35510866001.68591,0.4
2025-12-30,SPTO,HOUSEWARE,25.92,0.015625,-35360048404.320595,0.2
2025-12-30,KRYA,METAL AND ALLIED PRODUCTS,0.16,-0.1705882352941176,-35240677435.76371,0.2
2025-12-30,MTLA,PROPERTY AND REAL ESTATE,3.76,0.5,-35000347266.00597,0.5
2025-12-30,ACES,RETAIL TRADE,25.49,-0.004854368932038833,-34747976250.21826,0.4
2025-12-30,COCO,FOOD & BEVERAGES,61.18,-0.05084745762711862,-33824966971.948456,0.6
2025-12-30,BBTN,BANK,10.48,0.07798165137614688,-32222724834.492287,0.9
2025-12-30,BNBR,INVESTMENT COMPANY,30.0,0.19811320754716988,-31938431420.78655,
2025-12-30,LPGI,INSURANCE,15.04,0.05517241379310356,-30634312625.01983,0.3
2025-12-30,SCNP,HOUSEWARE,12.46,0.0062893081761006275,-29983456698.319378,0.3
2025-12-30,MYOH,COAL MINING,65.6,0.03344481605351168,-29581647868.84004,0.1
2025-12-30,ADES,COSMETICS AND HOUSEHOLD,92.27,0.008169934640522847,-29267912972.36637,0.1
2025-12-30,ADMF,FINANCIAL INSTITUTION,2.38,0.02686567164179099,-28434528602.853325,0.2
2025-12-30,BDKR,CONSTRUCTION,5.42,0.011695906432748648,-27374612612.4557,0.5
2025-12-30,BEST,PROPERTY AND REAL ESTATE,11.59,0.05714285714285716,-27105320476.77642,0.6
2025-12-30,BSSR,COAL MINING,11.67,0.03875968992248069,-26913584146.83683,0.2
2025-12-30,WINS,TRANSPORTATION,15.87,0.19955156950672648,-25337906806.331444,0.7
2025-12-30,MCOL,COAL MINING,0.17,-0.01851851851851849,-25254874701.247757,0.4
2025-12-30,PGJO,"ADVERTISING,PRINTING and MEDIA",0.03,-0.014563106796116498,-24901422366.322414,0.1
2025-12-30,SAPX,TRANSPORTATION,48.91,0.020134228187919545,-24026288722.933983,0.2
2025-12-30,TRON,COMPUTER AND SERVICES,4.07,0.026315789473684292,-22187650686.987385,
2025-12-30,CNKO,WHOLESALE (DURABLE & NON DURABLE GOODS),47.98,0.0,-21971095102.8809,0.3
2025-12-30,UCID,OTHERS - CONSUMER GOODS INDUSTRY,17.67,-0.009433962264150941,-21910476437.03801,0.5
2025-12-30,PSSI,TRANSPORTATION,43.21,0.040462427745664664,-19739136776.003407,0.6
2025-12-30,PNIN,INSURANCE,10.42,0.0,-19518375929.241356,0.7
2025-12-30,WEGE,CONSTRUCTION,1.53,0.07692307692307687,-19483074694.939995,0.4
2025-12-30,IBOS,"RESTAURANT, HOTEL & TOURISM",6.95,-0.08974358974358976,-19410700872.081314,0.1
2025-12-30,LPCK,PROPERTY AND REAL ESTATE,0.82,-0.008620689655172376,-19295847765.49171,1.0
2025-12-30,GEMS,COAL MINING,7.08,-0.06876790830945556,-19227853245.669994,0.3
