,date,sub_sector,close,foreignbuyvalue,foreignsellvalue,foreignnetvalue,cumsumnetvalue,cumsumnetvalue_ma5,cumsumnetvalue_ma10,cumsumnetvalue_ma20,foreignnetvalue_ma10,foreignnetvalue_ma20,ma5_slope,ma10_slope,flow_phase,positive_net_ratio_10d,price_return_10d,vision_group,relevancy,source,target,rsi_daily,rsi_weekly,rsi_monthly
31327,2025-12-30,plastics & packaging,3718.661345642681,79362042119.65916,47686263640.53791,31675778479.121254,-64141300896945.19,-64168450528499.19,-64178257604379.19,-64094015320633.21,6722102925.5368595,-15562520044.378841,6305861800.3984375,6722102925.5390625,Accumulation,0.5,14.40250829293677,Consumer/Industrial,Medium,Pengembangan bio-plastik,Pabrik bio-plastik (jumlah tidak disebutkan),58.314612451931794,62.88043033399619,70.194613390302
32039,2025-12-30,property and real estate,1224.630879461238,57394594885.80512,100119644362.69324,-42725049476.888115,-64184025946422.08,-64170268003932.414,-64175792405230.65,-64111708568055.15,2465199148.536525,-17693247421.941875,-1817475433.2265625,2465199148.5390625,Neutral,0.5,0.6523426688547922,Infrastructure,Medium,Program rumah rakyat,3 juta rumah untuk masyarakat,47.32638443210949,51.4885440283697,53.78422412847709
32751,2025-12-30,pulp & paper,8235.79785917929,19433834324.90934,9919013242.773453,9514821082.135887,-64174511125339.945,-64170564060386.766,-64172364780632.69,-64128889453525.0,3427624597.955336,-17180885469.84591,-296056454.3515625,3427624597.9609375,Neutral,0.6,40.09725757707057,Forestry / Industrial,Medium,Industri berbasis hutan,20 juta ha rehabilitasi hutan,57.672035301408584,57.055375568225664,51.701840423959496
33463,2025-12-30,"restaurant, hotel & tourism",4257.187866075646,50513574012.84488,73441223184.55122,-22927649171.706345,-64197438774511.65,-64174050683728.64,-64174388852509.46,-64144104320840.516,-2024071876.7655842,-15214867315.5099,-3486623341.875,-2024071876.7734375,Distribution,0.5,-0.49291606195813786,Tourism & Creative,Medium,Diplomasi ekonomi & pariwisata budaya,Tidak spesifik,81.33804329466625,56.46714143298362,54.14318912386185
34175,2025-12-30,retail trade,1467.0454201088767,74026958252.90648,69298446907.6506,4728511345.255875,-64192710263166.39,-64177997401277.05,-64176376895788.33,-64157929589161.766,-1988043278.858862,-13825268321.248999,-3946717548.40625,-1988043278.8671875,Distribution,0.5,-0.19339026030086048,Consumer / Distribution,Medium,Peningkatan konsumsi masyarakat & UMKM,100% UMKM digital,55.39681670535364,54.98687303497034,45.85276365032552
34887,2025-12-30,securities company,146.51861992714723,2988108178.229496,7833934033.048304,-4845825854.818808,-64197556089021.21,-64189248439692.25,-64178849484095.71,-64172158020336.734,-2472588307.4010873,-14228431174.978603,-11251038415.203125,-2472588307.3828125,Distribution,0.5,-0.57086364490919,Finance,Medium,Penguatan pasar modal,Kenaikan partisipasi investor lokal,42.91836583602877,41.920936039695874,48.601085848161674
35599,2025-12-30,telecomunication,2148.595372720012,179571226760.35904,183527658666.57236,-3956431906.213318,-64201512520927.42,-64192745754593.33,-64181506879262.875,-64185161033155.83,-2657395167.145728,-13003012819.078058,-3497314901.078125,-2657395167.1640625,Distribution,0.5,8.362439055877141,,,,,48.729331693974515,51.84070000034004,47.4910228868715
36311,2025-12-30,"textile, garment",616.5177704578615,2120948418.4487634,2566494147.946438,-445545729.49767447,-64201958066656.92,-64198235142856.73,-64184399601621.734,-64186514536798.05,-2892722358.874033,-1353503642.2219052,-5489388263.3984375,-2892722358.859375,Distribution,0.4,-0.1042006833552841,Manufacturing,Low,Tidak disebutkan,-,47.85148416411092,47.75829955833947,49.814302412874945
37023,2025-12-30,tobacco manufacturers,4168.938129902631,11914700134.279692,37041692901.21962,-25126992766.939926,-64227085059423.86,-64204164399839.164,-64189107541783.9,-64188823487668.61,-4707940162.158022,-2308950870.5786934,-5929256982.4375,-4707940162.1640625,Distribution,0.4,2.436578871229513,,,,,48.78488929527495,53.79621337208588,49.39612357536077
37735,2025-12-30,"toll road, airport, harbor & allied prod.",2785.6864113194506,14634155280.244152,3777603617.1013966,10856551663.142756,-64216228507760.72,-64208868048758.02,-64193432725017.54,-64189206216161.14,-4325183233.640778,-382728492.5117644,-4703648918.859375,-4325183233.640625,Distribution,0.4,0.030850740515671715,,,,,48.50550350705404,48.610865865548796,48.754712076917855
38447,2025-12-30,transportation,1383.1603452881584,73713303439.11563,173604683441.5498,-99891380002.43417,-64316119887763.16,-64232580808506.42,-64210914624099.336,-64194586114239.25,-17481899081.796318,-5379898078.129853,-23712759748.398438,-17481899081.796875,Distribution,0.3,-0.6280488550244383,,,,,49.53332535379756,43.66274558650751,46.549847562687305
39159,2025-12-30,wholesale (durable & non durable goods),23054.149007908083,126572179280.3417,33203385873.07278,93368793407.26892,-64222751094355.89,-64236828523192.11,-64214787138892.71,-64195289772061.69,-3872514793.3806167,-703657822.422168,-4247714685.6875,-3872514793.375,Distribution,0.4,17.825385995534006,,,,,52.33207874831855,60.79001327328227,56.22452699447417
39871,2025-12-30,wood industries,343.078385690865,204545233.61801824,930236588.4073403,-725691354.789322,-64223476785710.68,-64241132267002.86,-64219683704929.8,-64196024242781.25,-4896566037.073137,-734470719.5590227,-4303743810.75,-4896566037.0859375,Distribution,0.3,-0.9583430298366923,,,,,50.80052762359228,50.045425433074556,50.70740182337728
